index,label_name,label_counts,area_counts,
1,__ignore__,8614,80695219,
2,FINISHING_FACING_ARMHOLE_LEFT,667,4211925,
3,FINISHING_FACING_ARMHOLE_LEFT_BACK_OVER,96,1242482,554.059340659341
4,FINISHING_FACING_ARMHOLE_LEFT_BACK_UNDER,32,128171,
5,FINISHING_FACING_ARMHOLE_LEFT_FRONT_OVER,99,748134,
6,FINISHING_FACING_ARMHOLE_LEFT_FRONT_UNDER,35,101324,
7,FINISHING_FACING_ARMHOLE_LEFT_UNDER,39,231223,
8,FINISHING_FACING_ARMHOLE_RIGHT,620,3086939,
9,FINISHING_FACING_ARMHOLE_RIGHT_BACK_OVER,103,1594571,
10,FINISHING_FACING_ARMHOLE_RIGHT_BACK_UNDER,26,121202,
11,FINISHING_FACING_ARMHOLE_RIGHT_FRONT_OVER,106,594822,
12,FINISHING_FACING_ARMHOLE_RIGHT_FRONT_UNDER,42,90825,
13,FINISHING_FACING_ARMHOLE_RIGHT_UNDER,29,127633,
14,FINISHING_FACING_BACK_OVER,180,2247705,
15,FINISHING_FACING_BACK_UNDER,57,303451,
16,FINISHING_FACING_CENTER_BACK_LEFT_UNDER,4,21682,
17,FINISHING_FACING_CENTER_BACK_RIGHT_UNDER,3,6993,
18,FINISHING_FACING_CENTER_FRONT_LEFT_UNDER,1713,46385541,
19,FINISHING_FACING_CENTER_FRONT_RIGHT_UNDER,1663,38828819,
20,FINISHING_FACING_FALLBACK,214,2514234,
21,FINISHING_FACING_FRONT_UNDER,9,53312,
22,FINISHING_FACING_HOOD_CENTER_UNDER,7,134480,
23,FINISHING_FACING_HOOD_LEFT_UNDER,15,79026,
24,FINISHING_FACING_HOOD_RIGHT_UNDER,25,86490,
25,FINISHING_FACING_LEFT_SIDE_FRONT_UNDER,2,31057,
26,FINISHING_FACING_LEFT_UNDER,11,244017,
27,FINISHING_FACING_MIDDLE_FRONT_UNDER,0,0,
28,FINISHING_FACING_NECKLINE_BACK_OVER,369,2078680,
29,FINISHING_FACING_NECKLINE_BACK_UNDER,216,1214800,
30,FINISHING_FACING_NECKLINE_FRONT_OVER,1150,8815648,
31,FINISHING_FACING_NECKLINE_FRONT_UNDER,78,550819,
32,FINISHING_FACING_NECKLINE_LEFT_BACK_UNDER,13,52405,
33,FINISHING_FACING_NECKLINE_LEFT_FRONT_OVER,72,1092992,
34,FINISHING_FACING_NECKLINE_LEFT_FRONT_UNDER,37,311680,
35,FINISHING_FACING_NECKLINE_RIGHT_BACK_UNDER,14,41934,
36,FINISHING_FACING_NECKLINE_RIGHT_FRONT_OVER,78,1059517,
37,FINISHING_FACING_NECKLINE_RIGHT_FRONT_UNDER,36,286991,
38,FINISHING_FACING_NECKLINE_UNDER,7,16904,
39,FINISHING_FACING_POCKET_LEFT_BACK_UNDER,1,1044,
40,FINISHING_FACING_POCKET_LEFT_FRONT_UNDER,8,58022,
41,FINISHING_FACING_POCKET_RIGHT_BACK_UNDER,1,7466,
42,FINISHING_FACING_POCKET_RIGHT_FRONT_UNDER,6,8972,
43,FINISHING_FACING_RIGHT_UNDER,17,521384,
44,FINISHING_FACING_SLEEVE_LEFT_UNDER,1,100,
45,FINISHING_FACING_SLEEVE_RIGHT_UNDER,2,149,
46,FINISHING_FACING_WAIST_BACK_UNDER,1,65,
47,FINISHING_FACING_WAIST_FRONT_UNDER,0,0,
48,FINISHING_FACING_WAIST_LEFT_BACK_UNDER,1,523,
49,FINISHING_FACING_WAIST_RIGHT_BACK_UNDER,1,333,
50,FINISHING_FACING_WAIST_UNDER,0,0,
51,FINISHING_FACING_WATCH_POCKET_FRONT_RIGHT_UNDER,11,17480,
52,FINISHING_FACING_YOKE_LEFT_BACK_OVER,230,447119,
53,FINISHING_FACING_YOKE_RIGHT_BACK_OVER,290,1665392,
54,FINISHING_HEMMING_BACK_OVER,262,2042885,
55,FINISHING_HEMMING_BACK_UNDER,113,378422,
56,FINISHING_HEMMING_FALLBACK,213,3441399,
57,FINISHING_HEMMING_FRONT_OVER,313,2834854,
58,FINISHING_HEMMING_FRONT_UNDER,25,33070,
59,FINISHING_HEMMING_INNER_SEAM_LEFT_UNDER,1,514,
60,FINISHING_HEMMING_INNER_SEAM_RIGHT_UNDER,0,0,
61,FINISHING_HEMMING_LEFT_BACK_OVER,419,903255,
62,FINISHING_HEMMING_LEFT_BACK_UNDER,71,467043,
63,FINISHING_HEMMING_LEFT_FRONT_OVER,673,3970338,
64,FINISHING_HEMMING_LEFT_FRONT_UNDER,37,103400,
65,FINISHING_HEMMING_LEFT_OVER,2537,14375807,
